id,author,title,text
0,"Sridhar Natarajan, Jennifer Surane, Scott Moritz",Goldman Sachs Strikes Credit Card Deal With T-Mobile After Apple and GM,"Three years after expanding into credit cards, Goldman Sachs Group Inc. has quietly signed up a third partner, T-Mobile US Inc.-Three years after expanding into credit cards, 
Goldman Sachs Group Inc. has quietly signed up a third partner, 
T-Mobile US Inc.
The agreement to collaborate, under discussion since at least last… [+3124 chars]"
1,Vlad Savov,Apple (AAPL) Will Increase App Store Prices from Europe to Asia October,"Apple Inc. unveiled major increases to its price tiers on apps and in-app purchases from Europe to Asia, protecting its margins as major currencies tumble against the US dollar.-Apple Inc. unveiled major 
increases to its price tiers on apps and in-app purchases from Europe to Asia, protecting its margins as major currencies tumble against the US dollar.
Customers in natio… [+2303 chars]"
2,Mark Gurman,Apple Plans Fix for Shaking iPhone 14 Pro Camera by Next Week - Bloomberg,"Apple Inc. is working on a software update for the iPhone 14 Pro and Pro Max aimed at fixing a bug that makes the rear camera on the device physically shake when used with some third-party apps.-Apple Inc. is working on a software update for the iPhone 14 Pro and Pro Max aimed at fixing a bug that makes the rear camera on the device physically shake when used with some third-party apps.
The… [+291 chars]"
3,Emily Birnbaum,Apple Flexes Muscle as Quiet Power Behind App Developer Group,"The App Association brands itself as the leading voice for thousands of app developers around the world. In reality, the vast majority of its funding comes from Apple Inc.-The 
App Association brands itself as the leading voice for thousands of app developers around the world. In reality, the vast majority of its funding comes from 
Apple Inc.
The tech giant isnt a … [+215 chars]"
4,Ian King,Apple Counts on Upscale Shoppers to Turn Latest iPhone Into Hit,"The latest iPhone hits stores Friday, and Apple Inc. is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending.-The latest iPhone hits stores Friday, and 
Apple Inc. is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending. 
The iPhone 14 l… [+239 chars]"
5,Ryan Vlastelica,Apple Rallies Most Since May on Strong iPhone Pre-Order Data - Bloomberg,"Apple Inc. shares rallied the most since May as pre-order data showed the iPhone 14 Pro Max was the best selling model, surpassing what the older version did in a similar timeframe.-Apple Inc. shares rallied the most since May as pre-order data showed the iPhone 14 Pro Max was the best selling model, surpassing what the older version did in a similar timeframe.
Shares of the te… [+245 chars]"
6,Aisha S Gani,Revolut Wants to Compete With PayPal and Apple at Online Checkouts,"Revolut Ltd. is launching a one-click payment feature in a bid to rival PayPal Inc. and other tech giants at online checkouts.-Revolut Ltd. is launching a one-click payment feature in a bid to rival 
PayPal Inc. and other tech giants at online checkouts. 
Revolut Pay has signed up retailers including Shopify Inc., Prestash… [+161 chars]"
7,Austin Carr,"iMessage on Android? Don't Bet On It, Suggests Apple CEO Tim Cook - Bloomberg","Even amid all the upgrades Apple introduced this week, there’s one big feature the company may never offer. But first…-Even amid all the upgrades Apple introduced this week, theres one big feature the company may never offer. But first
Todays must-reads:
 Elizabeth Holmes 
asked for a new trialElon Musk said Space… [+4469 chars]"
8,,"The Strong Dollar, Apple, And Oil (Podcast)","Understand every aspect of the global economy – and know how to make your next move.-Vince Cignarella, Global Macro Strategist with Bloomberg News, joins the show for his weekly hit to talk about markets, the Fed, and currency and FX. Mark Smith, Senior VP-Investments at Wells Fargo … [+605 chars]"
9,Mark Gurman,Apple CEO Tim Cook Credits Steve Jobs With Fostering Culture of Privacy,"Apple Inc. Chief Executive Officer Tim Cook credited Steve Jobs with making privacy a top priority at the company and said he largely still runs the tech giant in the manner of its late co-founder.-Apple Inc. Chief Executive Officer Tim Cook credited Steve Jobs with making privacy a top priority at the company and said he largely still runs the tech giant in the manner of its late co-founder.
… [+2081 chars]"
