source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'bloomberg', 'name': 'Bloomberg'}","Sridhar Natarajan, Jennifer Surane, Scott Moritz",Goldman Sachs Strikes Credit Card Deal With T-Mobile After Apple and GM,"Three years after expanding into credit cards, Goldman Sachs Group Inc. has quietly signed up a third partner, T-Mobile US Inc.",https://www.bloomberg.com/news/articles/2022-09-20/goldman-strikes-credit-card-deal-with-t-mobile-after-apple-gm,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iw4KB6S1ptpE/v0/1200x800.jpg,2022-09-20T12:45:46Z,"Three years after expanding into credit cards, 
Goldman Sachs Group Inc. has quietly signed up a third partner, 
T-Mobile US Inc.
The agreement to collaborate, under discussion since at least last… [+3124 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Vlad Savov,Apple (AAPL) Will Increase App Store Prices from Europe to Asia October,"Apple Inc. unveiled major increases to its price tiers on apps and in-app purchases from Europe to Asia, protecting its margins as major currencies tumble against the US dollar.",https://www.bloomberg.com/news/articles/2022-09-20/apple-to-hike-app-store-prices-from-europe-to-asia-next-month,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iWAjobjgKOFc/v1/1200x713.jpg,2022-09-20T04:33:26Z,"Apple Inc. unveiled major 
increases to its price tiers on apps and in-app purchases from Europe to Asia, protecting its margins as major currencies tumble against the US dollar.
Customers in natio… [+2303 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Mark Gurman,Apple Plans Fix for Shaking iPhone 14 Pro Camera by Next Week - Bloomberg,Apple Inc. is working on a software update for the iPhone 14 Pro and Pro Max aimed at fixing a bug that makes the rear camera on the device physically shake when used with some third-party apps.,https://www.bloomberg.com/news/articles/2022-09-19/apple-plans-fix-for-shaking-iphone-14-pro-camera-by-next-week,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iKhytOz3pJ2s/v1/1200x800.jpg,2022-09-19T19:14:58Z,"Apple Inc. is working on a software update for the iPhone 14 Pro and Pro Max aimed at fixing a bug that makes the rear camera on the device physically shake when used with some third-party apps.
The… [+291 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Emily Birnbaum,Apple Flexes Muscle as Quiet Power Behind App Developer Group,"The App Association brands itself as the leading voice for thousands of app developers around the world. In reality, the vast majority of its funding comes from Apple Inc.",https://www.bloomberg.com/news/articles/2022-09-19/apple-flexes-muscle-as-quiet-power-behind-app-developer-group,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iPG2ghAitbzk/v0/1200x736.jpg,2022-09-19T09:28:27Z,"The 
App Association brands itself as the leading voice for thousands of app developers around the world. In reality, the vast majority of its funding comes from 
Apple Inc.
The tech giant isnt a … [+215 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Ian King,Apple Counts on Upscale Shoppers to Turn Latest iPhone Into Hit,"The latest iPhone hits stores Friday, and Apple Inc. is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending.",https://www.bloomberg.com/news/articles/2022-09-16/apple-counts-on-upscale-shoppers-to-turn-latest-iphone-into-hit,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ivkKxsT5Klm4/v0/1200x800.jpg,2022-09-16T04:01:00Z,"The latest iPhone hits stores Friday, and 
Apple Inc. is counting on well-heeled shoppers to make the device a hit during a year of roaring inflation and shaky technology spending. 
The iPhone 14 l… [+239 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Ryan Vlastelica,Apple Rallies Most Since May on Strong iPhone Pre-Order Data - Bloomberg,"Apple Inc. shares rallied the most since May as pre-order data showed the iPhone 14 Pro Max was the best selling model, surpassing what the older version did in a similar timeframe.",https://www.bloomberg.com/news/articles/2022-09-12/apple-rallies-most-since-may-on-strong-iphone-pre-order-data,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iCLdCFCIrS.s/v1/1200x800.jpg,2022-09-12T18:50:49Z,"Apple Inc. shares rallied the most since May as pre-order data showed the iPhone 14 Pro Max was the best selling model, surpassing what the older version did in a similar timeframe.
Shares of the te… [+245 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Aisha S Gani,Revolut Wants to Compete With PayPal and Apple at Online Checkouts,Revolut Ltd. is launching a one-click payment feature in a bid to rival PayPal Inc. and other tech giants at online checkouts.,https://www.bloomberg.com/news/articles/2022-09-09/revolut-launches-payment-feature-to-compete-with-paypal-apple,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iP_0VPFjWph0/v1/1200x800.jpg,2022-09-09T15:41:37Z,"Revolut Ltd. is launching a one-click payment feature in a bid to rival 
PayPal Inc. and other tech giants at online checkouts. 
Revolut Pay has signed up retailers including Shopify Inc., Prestash… [+161 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Austin Carr,"iMessage on Android? Don't Bet On It, Suggests Apple CEO Tim Cook - Bloomberg","Even amid all the upgrades Apple introduced this week, there’s one big feature the company may never offer. But first…",https://www.bloomberg.com/news/newsletters/2022-09-09/imessage-on-android-don-t-bet-on-it-suggests-apple-ceo-tim-cook,https://assets.bwbx.io/images/users/iIyChnKQ1lHc/i13vSVL8Vu3k/v1/1200x800.jpg,2022-09-09T10:45:02Z,"Even amid all the upgrades Apple introduced this week, theres one big feature the company may never offer. But first
Todays must-reads:
 Elizabeth Holmes 
asked for a new trialElon Musk said Space… [+4469 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",,"The Strong Dollar, Apple, And Oil (Podcast)",Understand every aspect of the global economy – and know how to make your next move.,https://www.bloomberg.com/news/audio/2022-09-08/the-strong-dollar-apple-and-oil-podcast,,2022-09-08T10:59:00Z,"Vince Cignarella, Global Macro Strategist with Bloomberg News, joins the show for his weekly hit to talk about markets, the Fed, and currency and FX. Mark Smith, Senior VP-Investments at Wells Fargo … [+605 chars]"
"{'id': 'bloomberg', 'name': 'Bloomberg'}",Mark Gurman,Apple CEO Tim Cook Credits Steve Jobs With Fostering Culture of Privacy,Apple Inc. Chief Executive Officer Tim Cook credited Steve Jobs with making privacy a top priority at the company and said he largely still runs the tech giant in the manner of its late co-founder.,https://www.bloomberg.com/news/articles/2022-09-08/apple-ceo-credits-steve-jobs-with-fostering-culture-of-privacy,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i85alEq15d3I/v0/1200x754.jpg,2022-09-08T05:04:49Z,"Apple Inc. Chief Executive Officer Tim Cook credited Steve Jobs with making privacy a top priority at the company and said he largely still runs the tech giant in the manner of its late co-founder.
… [+2081 chars]"
